risk_factor,intervention,level,sex,age,value
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,61,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,62,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,63,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,64,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,65,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,66,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,67,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,68,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,69,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,70,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,71,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,72,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,73,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,74,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,75,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,76,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,77,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,78,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,79,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,80,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,81,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,82,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,83,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,84,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,85,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,86,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,87,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,88,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,89,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,90,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,91,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,92,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,93,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,94,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,95,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,96,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,97,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,98,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,99,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,100,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,0,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,1,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,2,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,3,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,4,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,5,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,6,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,7,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,8,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,9,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,10,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,11,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,12,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,13,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,14,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,15,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,16,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,17,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,18,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,19,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,20,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,21,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,22,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,23,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,24,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,25,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,26,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,27,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,28,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,29,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,30,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,31,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,32,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,33,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,34,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,35,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,36,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,37,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,38,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,39,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,40,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,41,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,42,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,43,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,44,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,45,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,46,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,47,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,48,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,49,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,50,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,51,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,52,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,53,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,54,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,55,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,56,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,57,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,58,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,59,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,60,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,61,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,62,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,63,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,64,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,65,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,66,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,67,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,68,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,69,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,70,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,71,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,72,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,73,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,74,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,75,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,76,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,77,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,78,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,79,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,80,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,81,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,82,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,83,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,84,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,85,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,86,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,87,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,88,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,89,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,90,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,91,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,92,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,93,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,94,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,95,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,96,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,97,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,98,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,99,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,female,100,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,0,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,1,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,2,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,3,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,4,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,5,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,6,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,7,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,8,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,9,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,10,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,11,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,12,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,13,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,14,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,15,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,16,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,17,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,18,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,19,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,20,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,21,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,22,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,23,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,24,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,25,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,26,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,27,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,28,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,29,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,30,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,31,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,32,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,33,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,34,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,35,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,36,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,37,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,38,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,39,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,40,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,41,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,42,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,43,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,44,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,45,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,46,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,47,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,48,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,49,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,50,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,51,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,52,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,53,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,54,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,55,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,56,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,57,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,58,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,59,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,60,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,61,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,62,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,63,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,64,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,65,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,66,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,67,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,68,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,69,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,70,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,71,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,72,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,73,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,74,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,75,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,76,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,77,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,78,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,79,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,80,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,81,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,82,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,83,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,84,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,85,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,86,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,87,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,88,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,89,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,90,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,91,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,92,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,93,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,94,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,95,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,96,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,97,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,98,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,99,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,male,100,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,0,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,1,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,2,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,3,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,4,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,5,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,6,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,7,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,8,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,9,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,10,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,11,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,12,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,13,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,14,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,15,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,16,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,17,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,18,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,19,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,20,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,21,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,22,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,23,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,24,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,25,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,26,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,27,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,28,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,29,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,30,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,31,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,32,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,33,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,34,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,35,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,36,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,37,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,38,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,39,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,40,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,41,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,42,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,43,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,44,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,45,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,46,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,47,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,48,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,49,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,50,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,51,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,52,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,53,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,54,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,55,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,56,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,57,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,58,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,59,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,60,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,61,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,62,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,2,female,63,0.15
