disease,risk_factor,region,sex,age,value
Ischemic Heart Disease,Tobacco,Andean Latin America,Female,80 to 100,1.68
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Male,30 to 39,2.04
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Male,40 to 49,2.04
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Male,50 to 59,2.01
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Male,60 to 69,1.85
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Male,70 to 79,1.67
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Male,80 to 100,1.67
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Female,30 to 39,2.04
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Female,40 to 49,2.04
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Female,50 to 59,2.01
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Female,60 to 69,1.85
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Female,70 to 79,1.67
Ischemic Heart Disease,Mean systolic blood pressure (mmHG),Andean Latin America,Female,80 to 100,1.67
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Male,30 to 39,2.11
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Male,40 to 49,2.11
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Male,50 to 59,1.81
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Male,60 to 69,1.39
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Male,70 to 79,1.22
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Male,80 to 100,1.22
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Female,30 to 39,2.11
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Female,40 to 49,2.11
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Female,50 to 59,1.81
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Female,60 to 69,1.39
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Female,70 to 79,1.22
Ischemic Heart Disease,Mean total cholesterol (mmol/L),Andean Latin America,Female,80 to 100,1.22
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,30 to 39,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,40 to 49,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,50 to 59,1.09
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,60 to 69,1.08
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,70 to 79,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,80 to 100,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.09
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.08
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.05
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,15 to 19,5.0
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,20 to 24,4.9
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,25 to 29,4.6
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,30 to 39,5.5
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,40 to 49,6.6
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,50 to 59,9.2
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,60 to 69,10.3
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,70 to 79,10.3
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Male,80 to 100,10.3
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,15 to 19,5.0
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,20 to 24,4.9
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,25 to 29,4.6
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,30 to 39,5.5
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,40 to 49,6.6
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,50 to 59,9.2
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,60 to 69,10.3
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,70 to 79,10.3
Ischemic Heart Disease,Mean sodium intake (g/day),Andean Latin America,Female,80 to 100,10.3
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,15 to 19,1.26318614099399
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,20 to 24,1.26318614099399
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,25 to 29,1.26318614099399
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,30 to 39,1.25614562038334
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,40 to 49,1.24811375409956
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,50 to 59,1.24811375409956
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,60 to 69,1.21678287624582
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,70 to 79,1.17647306134989
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Male,80 to 100,1.17647306134989
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,15 to 19,1.11185620163331
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,20 to 24,1.11185620163331
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,25 to 29,1.11185620163331
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,30 to 39,1.10794004803632
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,40 to 49,1.10351179243877
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,50 to 59,1.10351179243877
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,60 to 69,1.09073814653245
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,70 to 79,1.07476440524732
Ischemic Stroke,Hazardous and harmful alcohol use,Andean Latin America,Female,80 to 100,1.07476440524732
Ischemic Stroke,Physical Inactivity,Andean Latin America,Male,30 to 39,1.23
Ischemic Stroke,Physical Inactivity,Andean Latin America,Male,40 to 49,1.23
Ischemic Stroke,Physical Inactivity,Andean Latin America,Male,50 to 59,1.23
Ischemic Stroke,Physical Inactivity,Andean Latin America,Male,60 to 69,1.23
Ischemic Stroke,Physical Inactivity,Andean Latin America,Male,70 to 79,1.21
Ischemic Stroke,Physical Inactivity,Andean Latin America,Male,80 to 100,1.21
Ischemic Stroke,Physical Inactivity,Andean Latin America,Female,30 to 39,1.23
Ischemic Stroke,Physical Inactivity,Andean Latin America,Female,40 to 49,1.23
Ischemic Stroke,Physical Inactivity,Andean Latin America,Female,50 to 59,1.23
Ischemic Stroke,Physical Inactivity,Andean Latin America,Female,60 to 69,1.23
Ischemic Stroke,Physical Inactivity,Andean Latin America,Female,70 to 79,1.21
Ischemic Stroke,Physical Inactivity,Andean Latin America,Female,80 to 100,1.21
Ischemic Stroke,Tobacco,Andean Latin America,Male,30 to 39,3.12
Ischemic Stroke,Tobacco,Andean Latin America,Male,40 to 49,3.12
Ischemic Stroke,Tobacco,Andean Latin America,Male,50 to 59,3.12
Ischemic Stroke,Tobacco,Andean Latin America,Male,60 to 69,1.88
Ischemic Stroke,Tobacco,Andean Latin America,Male,70 to 79,1.39
Ischemic Stroke,Tobacco,Andean Latin America,Male,80 to 100,1.39
Ischemic Stroke,Tobacco,Andean Latin America,Female,30 to 39,4.61
Ischemic Stroke,Tobacco,Andean Latin America,Female,40 to 49,4.61
Ischemic Stroke,Tobacco,Andean Latin America,Female,50 to 59,4.61
Ischemic Stroke,Tobacco,Andean Latin America,Female,60 to 69,2.81
Ischemic Stroke,Tobacco,Andean Latin America,Female,70 to 79,1.95
Ischemic Stroke,Tobacco,Andean Latin America,Female,80 to 100,1.95
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Male,30 to 39,2.55
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Male,40 to 49,2.55
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Male,50 to 59,2.74
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Male,60 to 69,2.33
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Male,70 to 79,2.0
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Male,80 to 100,2.0
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Female,30 to 39,2.55
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Female,40 to 49,2.55
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Female,50 to 59,2.74
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Female,60 to 69,2.33
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Female,70 to 79,2.0
Ischemic Stroke,Mean systolic blood pressure (mmHG),Andean Latin America,Female,80 to 100,2.0
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Male,30 to 39,1.51
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Male,40 to 49,1.51
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Male,50 to 59,1.37
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Male,60 to 69,1.12
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Male,70 to 79,1.0
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Male,80 to 100,1.0
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Female,30 to 39,1.51
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Female,40 to 49,1.51
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Female,50 to 59,1.37
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Female,60 to 69,1.12
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Female,70 to 79,1.0
Ischemic Stroke,Mean total cholesterol (mmol/L),Andean Latin America,Female,80 to 100,1.0
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,30 to 39,1.14
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,40 to 49,1.14
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,50 to 59,1.1
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,60 to 69,1.08
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,70 to 79,1.05
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,80 to 100,1.05
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.14
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.14
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.1
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.08
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.05
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.05
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,15 to 19,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,20 to 24,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,25 to 29,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,30 to 39,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,40 to 49,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,50 to 59,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,60 to 69,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,70 to 79,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,80 to 100,1.0
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,15 to 19,1.427277572228241
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,20 to 24,1.427277572228241
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,25 to 29,1.427277572228241
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,30 to 39,1.4188197540307133
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,40 to 49,1.4080756238691645
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,50 to 59,1.4080756238691645
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,60 to 69,1.4082092620863387
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,70 to 79,1.4085652029562528
Breast Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,80 to 100,1.4085652029562528
Breast Cancer,Physical Inactivity,Andean Latin America,Female,30 to 39,1.41
Breast Cancer,Physical Inactivity,Andean Latin America,Female,40 to 49,1.41
Breast Cancer,Physical Inactivity,Andean Latin America,Female,50 to 59,1.41
Breast Cancer,Physical Inactivity,Andean Latin America,Female,60 to 69,1.41
Breast Cancer,Physical Inactivity,Andean Latin America,Female,70 to 79,1.36
Breast Cancer,Physical Inactivity,Andean Latin America,Female,80 to 100,1.36
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.02
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.02
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.02
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.02
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.02
Cervical Cancer,Tobacco,Andean Latin America,Female,15 to 19,1.5
Cervical Cancer,Tobacco,Andean Latin America,Female,20 to 24,1.5
Cervical Cancer,Tobacco,Andean Latin America,Female,25 to 29,1.5
Cervical Cancer,Tobacco,Andean Latin America,Female,30 to 39,1.5
Cervical Cancer,Tobacco,Andean Latin America,Female,40 to 49,1.5
Cervical Cancer,Tobacco,Andean Latin America,Female,50 to 59,1.5
Cervical Cancer,Tobacco,Andean Latin America,Female,60 to 69,1.5
Cervical Cancer,Tobacco,Andean Latin America,Female,70 to 79,1.5
Cervical Cancer,Tobacco,Andean Latin America,Female,80 to 100,1.5
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,15 to 19,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,20 to 24,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,25 to 29,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.1
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,15 to 19,1.4803304276506197
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,20 to 24,1.4803304276506197
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,25 to 29,1.4803304276506197
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,30 to 39,1.4845153247112046
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,40 to 49,1.488151910666102
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,50 to 59,1.488151910666102
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,60 to 69,1.485699606070518
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,70 to 79,1.467421367449619
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Male,80 to 100,1.467421367449619
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,15 to 19,1.2883368911838056
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,20 to 24,1.2883368911838056
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,25 to 29,1.2883368911838056
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,30 to 39,1.2828759733676651
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,40 to 49,1.2759388637670726
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,50 to 59,1.2759388637670726
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,60 to 69,1.276025149296513
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,70 to 79,1.2762549678847837
Colorectal Cancer,Hazardous and harmful alcohol use,Andean Latin America,Female,80 to 100,1.2762549678847837
Colorectal Cancer,Physical Inactivity,Andean Latin America,Male,30 to 39,1.27
Colorectal Cancer,Physical Inactivity,Andean Latin America,Male,40 to 49,1.27
Colorectal Cancer,Physical Inactivity,Andean Latin America,Male,50 to 59,1.27
Colorectal Cancer,Physical Inactivity,Andean Latin America,Male,60 to 69,1.27
Colorectal Cancer,Physical Inactivity,Andean Latin America,Male,70 to 79,1.21
Colorectal Cancer,Physical Inactivity,Andean Latin America,Male,80 to 100,1.21
Colorectal Cancer,Physical Inactivity,Andean Latin America,Female,30 to 39,1.27
Colorectal Cancer,Physical Inactivity,Andean Latin America,Female,40 to 49,1.27
Colorectal Cancer,Physical Inactivity,Andean Latin America,Female,50 to 59,1.27
Colorectal Cancer,Physical Inactivity,Andean Latin America,Female,60 to 69,1.27
Colorectal Cancer,Physical Inactivity,Andean Latin America,Female,70 to 79,1.21
Colorectal Cancer,Physical Inactivity,Andean Latin America,Female,80 to 100,1.21
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,30 to 39,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,40 to 49,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,50 to 59,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,60 to 69,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,70 to 79,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,80 to 100,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.03
Lung Cancer,Tobacco,Andean Latin America,Male,15 to 19,21.3
Lung Cancer,Tobacco,Andean Latin America,Male,20 to 24,21.3
Lung Cancer,Tobacco,Andean Latin America,Male,25 to 29,21.3
Lung Cancer,Tobacco,Andean Latin America,Male,30 to 39,21.3
Lung Cancer,Tobacco,Andean Latin America,Male,40 to 49,21.3
Lung Cancer,Tobacco,Andean Latin America,Male,50 to 59,21.3
Lung Cancer,Tobacco,Andean Latin America,Male,60 to 69,21.3
Lung Cancer,Tobacco,Andean Latin America,Male,70 to 79,21.3
Lung Cancer,Tobacco,Andean Latin America,Male,80 to 100,21.3
Lung Cancer,Tobacco,Andean Latin America,Female,15 to 19,12.5
Lung Cancer,Tobacco,Andean Latin America,Female,20 to 24,12.5
Lung Cancer,Tobacco,Andean Latin America,Female,25 to 29,12.5
Lung Cancer,Tobacco,Andean Latin America,Female,30 to 39,12.5
Lung Cancer,Tobacco,Andean Latin America,Female,40 to 49,12.5
Lung Cancer,Tobacco,Andean Latin America,Female,50 to 59,12.5
Lung Cancer,Tobacco,Andean Latin America,Female,60 to 69,12.5
Lung Cancer,Tobacco,Andean Latin America,Female,70 to 79,12.5
Lung Cancer,Tobacco,Andean Latin America,Female,80 to 100,12.5
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,15 to 19,1.0229978448605084
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,20 to 24,1.0229978448605084
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,25 to 29,1.0229978448605084
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,30 to 39,1.0258361202369382
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,40 to 49,1.0283025207769347
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,50 to 59,1.0283025207769347
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,60 to 69,1.0266393219817465
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,70 to 79,1.014242679041392
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Male,80 to 100,1.014242679041392
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,15 to 19,0.843312894658149
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,20 to 24,0.843312894658149
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,25 to 29,0.843312894658149
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,30 to 39,0.8279605115245892
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,40 to 49,0.8084580820771041
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,50 to 59,0.8084580820771041
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,60 to 69,0.8087006582431358
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,70 to 79,0.8093467516540116
Diabetes,Hazardous and harmful alcohol use,Andean Latin America,Female,80 to 100,0.8093467516540116
Diabetes,Physical Inactivity,Andean Latin America,Male,30 to 39,1.5
Diabetes,Physical Inactivity,Andean Latin America,Male,40 to 49,1.5
Diabetes,Physical Inactivity,Andean Latin America,Male,50 to 59,1.5
Diabetes,Physical Inactivity,Andean Latin America,Male,60 to 69,1.5
Diabetes,Physical Inactivity,Andean Latin America,Male,70 to 79,1.43
Diabetes,Physical Inactivity,Andean Latin America,Male,80 to 100,1.43
Diabetes,Physical Inactivity,Andean Latin America,Female,30 to 39,1.5
Diabetes,Physical Inactivity,Andean Latin America,Female,40 to 49,1.5
Diabetes,Physical Inactivity,Andean Latin America,Female,50 to 59,1.5
Diabetes,Physical Inactivity,Andean Latin America,Female,60 to 69,1.5
Diabetes,Physical Inactivity,Andean Latin America,Female,70 to 79,1.43
Diabetes,Physical Inactivity,Andean Latin America,Female,80 to 100,1.43
Diabetes,Tobacco,Andean Latin America,Male,30 to 39,1.44
Diabetes,Tobacco,Andean Latin America,Male,40 to 49,1.44
Diabetes,Tobacco,Andean Latin America,Male,50 to 59,1.44
Diabetes,Tobacco,Andean Latin America,Male,60 to 69,1.44
Diabetes,Tobacco,Andean Latin America,Male,70 to 79,1.44
