source,risk_factor,intervention,impact_type,level,sex,age,value
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,2,male,50 to 59,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,2,male,60 to 69,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,2,male,70 to 79,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,2,male,80 to 100,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,15 to 19,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,20 to 24,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,25 to 29,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,30 to 39,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,40 to 49,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,50 to 59,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,60 to 69,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,70 to 79,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,female,80 to 100,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,15 to 19,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,20 to 24,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,25 to 29,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,30 to 39,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,40 to 49,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,50 to 59,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,60 to 69,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,70 to 79,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,3,male,80 to 100,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,15 to 19,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,20 to 24,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,25 to 29,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,30 to 39,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,40 to 49,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,50 to 59,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,60 to 69,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,70 to 79,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,female,80 to 100,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,15 to 19,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,20 to 24,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,25 to 29,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,30 to 39,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,40 to 49,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,50 to 59,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,60 to 69,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,70 to 79,25.0
hard_coded,NC_RFOverweight,NC_RFFruitMassMedia,NC_RiskBurden,4,male,80 to 100,25.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,15 to 19,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,20 to 24,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,25 to 29,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,30 to 39,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,40 to 49,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,50 to 59,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,60 to 69,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,70 to 79,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,female,80 to 100,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,15 to 19,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,20 to 24,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,25 to 29,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,30 to 39,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,40 to 49,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,50 to 59,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,60 to 69,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,70 to 79,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,1,male,80 to 100,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,15 to 19,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,20 to 24,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,25 to 29,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,30 to 39,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,40 to 49,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,50 to 59,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,60 to 69,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,70 to 79,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,female,80 to 100,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,15 to 19,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,20 to 24,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,25 to 29,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,30 to 39,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,40 to 49,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,50 to 59,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,60 to 69,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,70 to 79,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,2,male,80 to 100,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,15 to 19,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,20 to 24,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,25 to 29,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,30 to 39,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,40 to 49,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,50 to 59,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,60 to 69,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,70 to 79,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,female,80 to 100,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,15 to 19,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,20 to 24,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,25 to 29,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,30 to 39,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,40 to 49,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,50 to 59,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,60 to 69,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,70 to 79,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,3,male,80 to 100,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,15 to 19,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,20 to 24,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,25 to 29,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,30 to 39,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,40 to 49,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,50 to 59,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,60 to 69,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,70 to 79,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,female,80 to 100,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,15 to 19,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,20 to 24,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,25 to 29,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,30 to 39,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,40 to 49,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,50 to 59,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,60 to 69,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,70 to 79,76.0
hard_coded,NC_RFOverweight,NC_RFFruitPublicProcurement,NC_RiskBurden,4,male,80 to 100,76.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,15 to 19,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,20 to 24,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,25 to 29,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,30 to 39,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,40 to 49,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,50 to 59,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,60 to 69,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,70 to 79,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,female,80 to 100,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,15 to 19,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,20 to 24,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,25 to 29,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,30 to 39,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,40 to 49,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,50 to 59,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,60 to 69,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,70 to 79,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,1,male,80 to 100,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,15 to 19,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,20 to 24,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,25 to 29,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,30 to 39,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,40 to 49,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,50 to 59,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,60 to 69,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,70 to 79,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,female,80 to 100,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,male,15 to 19,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,male,20 to 24,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,male,25 to 29,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,male,30 to 39,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,male,40 to 49,25.0
hard_coded,NC_RFOverweight,NC_RFLegumeMassMedia,NC_RiskBurden,2,male,50 to 59,25.0
